status	category	title	url	file	http_status	bytes	has_html	fallback	dom_status	dom_bytes	dom_title_count	dom_canvas_count	canvas_source	script_tags	root_links	rf_hits	dangerous_dom	iframe
ACTIVE_REAL_PAGE	3d-visual	TRFMC Domain Registry V1	/trfmc_domain_registry_v1.html	frontend/public/trfmc_domain_registry_v1.html	200	49035	YES	NO	PASS	50967	5	1	1	5	98	144	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.82A · Native WebGL RF Vegetation Lab	/webgl_rf_heatmap_engine_v82_native_lab.html	frontend/public/webgl_rf_heatmap_engine_v82_native_lab.html	200	9679	YES	NO	PASS	11624	3	2	2	6	13	20	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.70A Unified Shell · TRFMC v0.66A · WebGL RF Heatmap Engine	/webgl_rf_heatmap_engine_v66.html	frontend/public/webgl_rf_heatmap_engine_v66.html	200	7424	YES	NO	PASS	10840	2	2	2	7	15	19	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.83D · Instrument Layout + Link Budget Inspector	/webgl_rf_physics_engine_v83d.html	frontend/public/webgl_rf_physics_engine_v83d.html	200	12157	YES	NO	PASS	20459	3	2	2	7	19	17	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.83E · Instrument Readability + Vector Governance	/webgl_rf_physics_engine_v83e.html	frontend/public/webgl_rf_physics_engine_v83e.html	200	12395	YES	NO	PASS	21835	3	2	2	8	21	17	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.83F · Dual Instrument View + RSRP/SINR Profile	/webgl_rf_physics_engine_v83f.html	frontend/public/webgl_rf_physics_engine_v83f.html	200	12604	YES	NO	PASS	23466	3	4	2	9	23	17	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.85B · Sapienza Physics Baseline + RSRP/SINR Profile	/webgl_rf_physics_engine_v85b_sapienza_baseline.html	frontend/public/webgl_rf_physics_engine_v85b_sapienza_baseline.html	200	12820	YES	NO	PASS	25309	2	4	2	10	24	17	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.85C · Sapienza Physics Baseline + RSRP/SINR Profile	/webgl_rf_physics_engine_v85c_sapienza_identity.html	frontend/public/webgl_rf_physics_engine_v85c_sapienza_identity.html	200	12979	YES	NO	PASS	26464	2	4	2	11	25	17	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.85D · Sapienza Physics Baseline + RSRP/SINR Profile	/webgl_rf_physics_engine_v85d_runtime_identity_lock.html	frontend/public/webgl_rf_physics_engine_v85d_runtime_identity_lock.html	200	13160	YES	NO	PASS	27518	2	4	2	12	26	17	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.85E · Sapienza Physics Baseline + RSRP/SINR Profile	/webgl_rf_physics_engine_v85e_viewport_discipline.html	frontend/public/webgl_rf_physics_engine_v85e_viewport_discipline.html	200	13154	YES	NO	PASS	27407	2	4	2	12	26	17	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.70A Unified Shell · TRFMC v0.67A · Urban Shadowing & Clutter Engine	/webgl_rf_heatmap_engine_v67.html	frontend/public/webgl_rf_heatmap_engine_v67.html	200	7543	YES	NO	PASS	11364	0	2	2	7	16	14	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.81C-R2 · Seasonal Vegetation Clutter Engine · Cinematic Surgical Rebuild	/webgl_rf_heatmap_engine_v68_surgical_v81.html	frontend/public/webgl_rf_heatmap_engine_v68_surgical_v81.html	200	11358	YES	NO	PASS	13888	1	1	1	8	15	14	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.70A Unified Shell · TRFMC v0.68A · Seasonal Vegetation Clutter Engine	/webgl_rf_heatmap_engine_v68.html	frontend/public/webgl_rf_heatmap_engine_v68.html	200	8675	YES	NO	PASS	12200	2	2	2	7	16	13	0	0
ACTIVE_REAL_PAGE	3d-visual	TRFMC v0.70A Unified Shell · TRFMC v0.69A · UE Mobility & Handover Dynamics	/webgl_rf_heatmap_engine_v69.html	frontend/public/webgl_rf_heatmap_engine_v69.html	200	9183	YES	NO	PASS	14943	0	2	2	8	17	13	0	0
